campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,Categoría,Coincidencias,campaign_name_lower
Public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,0.35,email,B2B,organic,0.4,709593.48,Otros,[],public-key multi-tasking throughput
De-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,B2C,promotion,0.66,516609.1,Otros,[],de-engineered analyzing task-force
Balanced solution-oriented Local Area Network,2022-12-20,2023-10-11,84643.1,0.37,podcast,B2B,paid,0.28,458227.42,Red/Conectividad,['PRIMARY: network'],balanced solution-oriented local area network
Distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,B2B,organic,0.19,89958.73,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",distributed real-time methodology
Front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,B2B,promotion,0.81,47511.35,Arquitectura/Infraestructura,['PRIMARY: infrastructure'],front-line executive infrastructure
Upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,B2C,referral,0.67,558302.11,Datos/Análisis,"['PRIMARY: data', 'PATTERN: \\bdata-\\w+\\b']",upgradable transitional data-warehouse
Innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,B2C,referral,0.17,172882.59,Otros,[],innovative context-sensitive framework
User-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,B2C,promotion,0.52,206241.46,Usuario/Cliente,"['PRIMARY: user', 'PRIMARY: client']",user-friendly client-driven service-desk
Proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,B2C,organic,0.47,734755.76,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",proactive neutral methodology
Intuitive responsive support,2022-11-25,2024-04-04,1816.22,0.81,social media,B2C,referral,0.85,563280.3,Otros,[],intuitive responsive support
Multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,B2B,referral,0.23,406522.77,Otros,[],multi-lateral dedicated workforce
Cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,B2B,promotion,0.55,174462.47,Tecnología/IT,"['SECONDARY: platform', 'PATTERN: \\b\\w+-platform\\b']",cross-platform demand-driven encoding
Networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,B2B,organic,0.95,680416.9,Otros,[],networked even-keeled toolset
Optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,B2B,referral,0.45,477528.27,Procesos/Metodología,[],optional actuating standardization
Innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,B2C,referral,0.1,4190.95,Otros,[],innovative web-enabled function
Configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,B2B,referral,0.92,23176.85,Productos/Servicios,"['SECONDARY: methodical', 'PATTERN: \\bmethod\\w*\\b']",configurable methodical service-desk
Cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,B2C,paid,0.65,386133.95,Otros,[],cross-group empowering attitude
Intuitive didactic installation,2023-06-24,2024-03-27,19213.46,0.17,email,B2B,organic,0.96,925274.53,Otros,[],intuitive didactic installation
Fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,B2B,promotion,0.79,460559.74,Otros,[],fundamental dedicated encryption
De-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,B2C,promotion,0.1,292885.55,Otros,[],de-engineered 4thgeneration moratorium
Managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,B2B,referral,0.72,478980.33,Otros,[],managed upward-trending website
Self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,B2B,organic,0.91,974038.96,Arquitectura/Infraestructura,['PRIMARY: infrastructure'],self-enabling human-resource infrastructure
Cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,B2B,promotion,0.96,435524.36,Tecnología/IT,"['SECONDARY: platform', 'PATTERN: \\b\\w+-platform\\b']",cross-platform 24/7 archive
Future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,B2B,referral,0.75,814672.28,Innovación/Generacional,[],future-proofed local forecast
Horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,B2B,promotion,0.87,41004.95,Otros,[],horizontal hybrid instruction set
Inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,B2C,organic,0.16,390736.64,Otros,[],inverse contextually-based neural-net
Polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,B2C,organic,0.43,463541.48,Tecnología/IT,[],polarized hybrid system engine
Managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,B2C,promotion,0.83,456537.4,Productos/Servicios,['PRIMARY: service'],managed analyzing service-desk
Seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,B2B,organic,0.18,14073.59,Productos/Servicios,['PRIMARY: product'],seamless clear-thinking product
Networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,B2B,referral,0.1,948309.55,Otros,[],networked local adapter
Open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,B2B,promotion,0.57,993906.77,Tecnología/IT,[],open-architected neutral open system
Secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,B2C,paid,0.4,958654.12,Otros,[],secured optimal website
Seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,B2B,paid,0.56,932824.61,Otros,[],seamless zero-defect portal
Configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,B2C,paid,0.15,430007.3,Otros,[],configurable eco-centric capability
Customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,B2C,paid,0.7,924154.29,Otros,[],customizable directional paradigm
Cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,B2B,promotion,0.8,72323.84,Tecnología/IT,"['SECONDARY: platform', 'PATTERN: \\b\\w+-platform\\b']",cross-platform holistic encryption
Vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,B2B,referral,0.28,42048.95,Tecnología/IT,[],vision-oriented encompassing system engine
Ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,B2B,organic,0.65,482216.95,Otros,[],ergonomic next generation throughput
Vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,0.91,podcast,B2C,organic,0.27,273231.88,Otros,[],vision-oriented 4thgeneration conglomeration
Ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,B2B,organic,0.1,704768.1,Datos/Análisis,"['PRIMARY: data', 'PATTERN: \\bdata-\\w+\\b']",ameliorated secondary data-warehouse
Programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,B2B,paid,0.7,116505.36,Otros,[],programmable executive workforce
Cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,B2C,promotion,0.0,617379.96,Usuario/Cliente,['PRIMARY: user'],cross-group user-facing application
Secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,B2C,promotion,0.39,571977.28,Arquitectura/Infraestructura,['PRIMARY: architecture'],secured systematic architecture
Seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,B2B,organic,0.9,984261.3,Otros,[],seamless bifurcated firmware
Intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,B2B,referral,0.4,77500.94,Otros,[],intuitive directional website
Mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,B2B,organic,0.98,210953.33,Otros,[],mandatory incremental throughput
Organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,B2B,paid,0.26,477907.76,Otros,[],organic 24/7 secured line
User-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,B2B,organic,0.97,658107.7,Usuario/Cliente,['PRIMARY: user'],user-friendly analyzing moratorium
Programmable discrete intranet,2023-03-05,2024-02-13,8041.9,0.5,social media,B2B,paid,0.96,567808.35,Otros,[],programmable discrete intranet
Future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,B2C,promotion,0.75,472138.22,Innovación/Generacional,[],future-proofed empowering forecast
Re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,0.87,email,B2B,referral,0.67,397435.21,Productos/Servicios,[],re-engineered solution-oriented core
Diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,0.96,social media,B2C,referral,0.81,538367.39,Otros,[],diverse grid-enabled forecast
Function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,B2C,organic,0.24,570246.17,Otros,[],function-based motivating functionalities
User-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,B2C,referral,0.62,430498.24,Usuario/Cliente,['PRIMARY: user'],user-centric holistic firmware
Virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,B2B,paid,0.1,672667.53,Arquitectura/Infraestructura,['PRIMARY: architecture'],virtual real-time architecture
Open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,0.9,podcast,B2B,promotion,0.82,847778.95,Otros,[],open-source 6thgeneration secured line
Reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,B2C,organic,0.64,816593.62,Arquitectura/Infraestructura,['PRIMARY: architecture'],reduced leadingedge architecture
Fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,0.64,webinar,B2C,promotion,0.3,273952.77,Otros,[],fully-configurable 24/7 knowledgebase
Organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,B2B,promotion,0.2,683796.77,Otros,[],organic 4thgeneration neural-net
Centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,B2C,promotion,0.14,364648.39,Gestión/Management,['PRIMARY: management'],centralized 3rdgeneration budgetary management
Persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,B2C,paid,0.3,29575.48,Otros,[],persevering web-enabled workforce
Multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,B2C,paid,0.85,489015.27,Otros,[],multi-channeled high-level interface
Re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,B2C,referral,0.98,383111.17,Otros,[],re-contextualized high-level project
Right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,B2B,referral,0.23,283711.16,Productos/Servicios,['PRIMARY: product'],right-sized tangible product
Diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,B2B,promotion,0.76,749909.68,Otros,[],diverse leadingedge initiative
Intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,B2B,referral,0.26,429790.1,Tecnología/IT,['PRIMARY: hardware'],intuitive transitional hardware
Diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,B2B,promotion,0.78,852334.6,Otros,[],diverse 6thgeneration superstructure
Enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,B2B,referral,0.81,872159.47,Otros,[],enhanced 4thgeneration hierarchy
Function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,B2B,paid,0.37,873342.13,Otros,['SECONDARY: systematic'],function-based systematic emulation
Managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,B2C,organic,0.39,71257.79,Otros,[],managed asymmetric array
Enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,B2B,promotion,0.93,211910.58,Otros,[],enterprise-wide mission-critical utilization
Adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,B2C,paid,0.82,850376.61,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",adaptive clear-thinking methodology
Networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,B2C,organic,0.4,102385.82,Otros,[],networked zero administration model
Seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,B2B,promotion,0.45,871834.53,Arquitectura/Infraestructura,['PRIMARY: architecture'],seamless well-modulated open architecture
Exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,B2C,promotion,0.6,181056.53,Otros,[],exclusive radical installation
