campaign_name,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracion_dias,theme,roi_categoria,conversion_categoria,revenue_categoria,budget_categoria,roi_recalculated,start_month,temporada_inicio,net_profit,conversions,costo_por_conversion,costo_clicks,ingresos_por_click,revenue_per_dollar,efficiency_index
Public-key multi-tasking throughput,8082.3,0.35,email,B2B,organic,0.4,709593.48,1,Usuario/Cliente,Bajo,Baja,Mucha,Medio,86.79598381648788,4,Primavera,701511.1799999999,283837.392,0.028475106620201755,3270.16734553197,216.9899595412197,87.79598381648788,0.13999999999999999
De-engineered analyzing task-force,17712.98,0.74,email,B2C,promotion,0.66,516609.1,1,Procesos/Metodología,Medio,Media,Media,Alto,28.165566719998555,2,Invierno,498896.12,340962.006,0.0519500111106221,12105.632717764733,42.6751010909069,29.165566719998555,0.4884
Balanced solution-oriented Local Area Network,84643.1,0.37,podcast,B2B,paid,0.28,458227.42,1,Productos/Servicios,Bajo,Baja,Media,Muy Alto,4.413641749888649,12,Invierno,373584.31999999995,128303.67760000001,0.6597090713477725,29069.798789907894,15.763006249602316,5.413641749888649,0.10360000000000001
Distributed real-time methodology,14589.75,0.47,webinar,B2B,organic,0.19,89958.73,1,Procesos/Metodología,Bajo,Baja,Poca,Alto,5.165885638890317,9,Otoño,75368.98,17092.1587,0.8535931742782145,3308.659907475529,27.188871783633246,6.165885638890317,0.08929999999999999
Front-line executive infrastructure,39291.9,0.3,social media,B2B,promotion,0.81,47511.35,1,Gestión/Management,Bajo,Alta,Poca,Alto,0.20918942581040867,7,Verano,8219.449999999997,38484.1935,1.020988006413594,183968.1587676366,0.25825855038322054,1.2091894258104088,0.243
Upgradable transitional data-warehouse,75569.28,0.59,social media,B2C,referral,0.67,558302.11,1,Datos/Análisis,Medio,Media,Media,Muy Alto,6.38795063284975,6,Verano,482732.82999999996,374062.41370000003,0.20202318445340234,58557.49914164972,9.534254675895149,7.38795063284975,0.3953
Innovative context-sensitive framework,28964.45,0.59,email,B2C,referral,0.17,172882.59,1,Innovación/Generacional,Medio,Baja,Poca,Alto,4.968785528466793,3,Primavera,143918.13999999998,29390.0403,0.9855192338746129,5914.934370103276,29.22815016745172,5.968785528466793,0.1003
User-friendly client-driven service-desk,36800.58,0.4,webinar,B2C,promotion,0.52,206241.46,1,Usuario/Cliente,Bajo,Media,Poca,Alto,4.604299171371755,1,Invierno,169440.88,107245.5592,0.34314315925539973,23292.482788004505,8.85442148340722,5.604299171371755,0.20800000000000002
Proactive neutral methodology,40493.88,0.16,webinar,B2C,organic,0.47,734755.76,1,Procesos/Metodología,Bajo,Media,Mucha,Alto,17.14485942073222,9,Otoño,694261.88,345335.2072,0.1172596339896154,20142.20115344938,36.47842429943026,18.14485942073222,0.0752
Intuitive responsive support,1816.22,0.81,social media,B2C,referral,0.85,563280.3,1,Usuario/Cliente,Medio,Alta,Media,Medio,309.13880477034724,11,Otoño,561464.0800000001,478788.255,0.0037933679054011045,1548.7808311728506,363.6927114945262,310.13880477034724,0.6885
Multi-lateral dedicated workforce,94084.21,0.58,podcast,B2B,referral,0.23,406522.77,1,Gestión/Management,Medio,Baja,Media,Muy Alto,3.3208394904947385,6,Verano,312438.56,93500.23710000001,1.0062456836272557,28155.602632294147,14.438432567368427,4.3208394904947385,0.1334
Cross-platform demand-driven encoding,64041.37,0.16,social media,B2B,promotion,0.55,174462.47,1,Arquitectura/Infraestructura,Bajo,Media,Poca,Muy Alto,1.7242151440545386,7,Verano,110421.1,95954.3585,0.6674149147690879,55651.03567897028,3.1349366255537063,2.7242151440545386,0.08800000000000001
Networked even-keeled toolset,49375.81,0.58,social media,B2B,organic,0.95,680416.9,1,Red/Conectividad,Medio,Alta,Media,Alto,12.7803693752062,3,Primavera,631041.0900000001,646396.0549999999,0.07638631086633102,50577.259234306825,13.453020394953898,13.7803693752062,0.5509999999999999
Optional actuating standardization,14810.62,0.94,webinar,B2B,referral,0.45,477528.27,1,Procesos/Metodología,Medio,Media,Media,Alto,31.24228762874208,7,Verano,462717.65,214887.7215,0.0689225977948675,6878.104575873278,69.42730584164907,32.242287628742076,0.423
Innovative web-enabled function,36848.3,0.92,webinar,B2C,referral,0.1,4190.95,1,Innovación/Generacional,Medio,Baja,Poca,Alto,-0.8862647666242405,11,Otoño,-32657.350000000002,419.095,87.92350183132703,-472.87787553184813,-8.862647666242404,0.11373523337575953,0.09200000000000001
Configurable methodical service-desk,21510.43,0.23,email,B2B,referral,0.92,23176.85,1,Productos/Servicios,Bajo,Alta,Poca,Alto,0.0774703248610092,3,Primavera,1666.4199999999983,21322.702,1.0088041374868908,275237.028349312,0.08420687484892303,1.0774703248610091,0.2116
Cross-group empowering attitude,99520.93,0.52,podcast,B2C,paid,0.65,386133.95,1,Procesos/Metodología,Medio,Media,Media,Muy Alto,2.879927066597951,9,Otoño,286613.02,250987.0675,0.39651815924738826,87150.49433404238,4.430657025535309,3.879927066597951,0.338
Intuitive didactic installation,19213.46,0.17,email,B2B,organic,0.96,925274.53,1,Productos/Servicios,Bajo,Alta,Mucha,Alto,47.15762127175429,6,Verano,906061.0700000001,888263.5488,0.02163035962238508,18836.055018153296,49.12252215807739,48.15762127175429,0.1632
